risk_bin,n,predicted_survival_mean,observed_survival_km,horizon_months
"(0.0422, 0.11]",80,0.9221575326994318,0.9746753246753248,60.0
"(0.11, 0.16]",79,0.8654743696701469,0.8860759493670889,60.0
"(0.16, 0.23]",79,0.8113635976604654,0.8660363149527227,60.0
"(0.23, 0.328]",79,0.7233990426836102,0.6288677918424752,60.0
"(0.328, 0.64]",79,0.5677577079956867,0.5398629148629147,60.0
